Text,Intent
How many of a specific item were purchased?,PO
Please let me know when the item was most recently used.,INFORMATION
How can I tell the last time an ITEM was used?,INFORMATION
The most current usage date of a product is what I'm interested in.,INFORMATION
I need to know when a particular item's payment was made.,INFORMATION
Please let me know the item's price.,COST
Please let me know how much this item costs.,COST
How much does a thing cost?,COST
"For one or more things, I need to know when the order was received.",ORDER
I need to know when an item—or a number of items—will be delivered.,INFORMATION
When were orders for a particular product or quantity of goods received?,ORDER
When will you receive one or more of the ordered goods?,INFORMATION
What day did orders for a certain product or a batch of products arrive?,INFORMATION
When will the numerous items in the order be delivered?,INFORMATION
How many of this item are currently on hand from the vendor?,QUANTITY
I'd like to ask the merchant how much of this item is currently in stock.,QUANTITY
How many units of this product does the seller or dealer have in stock?,QUANTITY
How many of this ITEM does the merchant have on hand?,QUANTITY
How many units are offered by the merchant for purchase?,QUANTITY
How many units of this ITEM are offered by this specific store or vendor?,QUANTITY
Please let me know how many of this item the specific merchant offers.,QUANTITY
How many of this item does a specific merchant offer? I'm curious.,QUANTITY
I'm curious to know how much the cherished items cost.,COST
How many items are sold with each ORDER of merchandise?,ORDER
"I am curious. For each individual ITEM, how many Orders are sold?",ORDER
"For each ITEM, how many orders are placed?",INFORMATION
I'm interested in the prices of the items that have been on hold for a while.,COST
The costs of the items that have been put on hold for a while have my attention.,COST
How many items are kept in storage at a certain place?,INFORMATION
How many goods are kept in a specific location? I need to know.,LOCATION
How many units are kept in storage at a specific place?,INFORMATION
how much is stored in a specific location.,LOCATION
how much is kept in a specific location.,LOCATION
"I want to know how much of a specific object can be stored at a given location/area, both maximally and minimally.",QUANTITY
The maximum and minimum storage amounts for a specific item must be known to me.,INFORMATION
What is the maximum and least quantity of one thing that can be kept in a specific place?,INFORMATION
The maximum and minimum storage capacities for a specific item pique my interest.,INFORMATION
How many purchase orders for a certain item or group of items were issued?,PO
"For a single or a number of things, how many purchase orders were issued?",PO
The most recent purchase order for a certain item or group of items was when?,PO
"How many different things did the vendor or seller sell, or how many units of a certain item?",QUANTITY
The SO date for a specific PO is something I'm curious about.,SO
"Concerning the seller of a specific SO, I'm interested.",QUANTITY
How many ITEMS totaled a specific purchasing order?,INFORMATION
When was the most recent PO created for an item or a number of items?,INFORMATION
I need to know the SO date for a specific PO.,SO
I'm trying to find the source for a specific SO.,SO
The number of ITEMS that are part of a specific SO would be helpful to me.,SO
I need to know how many ITEMS a specific purchase order contained.,PO
When was the most recent purchase order for a specific product or a collection of products issued?,PO
I want to know how many units of a certain ITEM or how many goods the retailer sold.,QUANTITY
What is the SO date for this purchase order?,SO
Who is the vendor with respect to a specific SO?,SO
"Which ITEMS, and how many of them, made up a specific SO?",SO
Please let me know how many ITEMS made up a particular PO.,PO
"What ITEMS, in what quantity, made up a specific PO?",PO
I want more details about an ITEM.,INFORMATION
I want to learn more about these THINGS.,INFORMATION
I need to know the location of the ITEM.,LOCATION
I'm curious as to where the ITEM is kept.,INFORMATION
I'm curious how many of a particular item we have.,INFORMATION
I want to know. How often have we utilised an ITEM?,INFORMATION
How many of a particular ITEM were sent to me?,INFORMATION
When was a certain ITEM last used?,INFORMATION
I need to know how many items were sent and when they were received.,INFORMATION
I'm curious about the price of something.,COST
I'm interested in knowing how many of this ITEM the specific merchant has on hand.,QUANTITY
I need to know when a certain ITEM or several items' orders were received.,ORDER
I'm curious as to when my order will be delivered. Is it for one or numerous items?,INFORMATION
I'm curious about the cost of the goods I've been clinging to for a very long time.,COST
I want to know how much is kept in a specific location.,LOCATION
"I'm curious as to how many of a particular object may be stored in a given space, both maximally and minimally.",QUANTITY
"I want to know. For a single item or a collection of things, how many POs were created?",PO
When was the last purchase order (PO) made for a specific ITEM or for a number of items?,PO
I'm interested in knowing the vendor's sales figures for a particular ITEM or range of goods.,QUANTITY
I require vendor information for a specific SO.,SO
I need to know how many ITEMS were contained in a specific SO.,SO
How many ITEMS were contained in a specific PO?,PO
I want more information about an ITEM.,INFORMATION
I'm interested in learning more about these ITEMS.,INFORMATION
How can I locate the ITEM?,INFORMATION
What location does the ITEM have?,LOCATION
I need to know where the item is held in storage.,INFORMATION
"Tell me where the item is kept, please.",INFORMATION
How many of each item do we currently have in stock?,INFORMATION
Please let me know how much of a particular item we currently have in stock.,INFORMATION
I'd want to know how many of a certain ITEM we currently have in stock.,LOCATION
I am intrigued. How many of an ITEM did we use?,INFORMATION
I am intrigued. What portion of a specific quantity did we use for a particular thing?,INFORMATION
Please let me know how many of a particular item were delivered.,INFORMATION
Please tell me how many of a particular item you bought.,INFORMATION
How many of a specific ITEM were sent? I want to know.,INFORMATION
I require the quantity received at what time for each item.,INFORMATION
What is the price of an ITEM?,COST
"If the order was for numerous items or just one, please let me know when it was received.",ORDER
I would want to know when a certain item or a number of things from the order will arrive.,INFORMATION
When did orders for a few of the products arrive?,INFORMATION
What day did you receive orders for a single item or a batch of items?,INFORMATION
How many of this product does the seller currently have?,QUANTITY
How many of this item does the merchant currently have in stock?,QUANTITY
Please let me know how many of this product the merchant is selling.,QUANTITY
how many of this ITEM are on hand at the vendor.,QUANTITY
How many of this ITEM's units are offered by the particular vendor or retailer?,QUANTITY
How many of this particular item does the seller have available for purchase?,QUANTITY
"I am intrigued. For each ITEM, how many Orders are sold?",ORDER
How many Orders exist for a certain ITEM?,ORDER
I'm curious about the cost of the products that have been held for a while.,COST
I'm curious about the cost of the products that have been on hold for a while.,COST
Please let me know how many items are stored in storage at a particular location.,LOCATION
I need to know how many items are stored in a specific location.,LOCATION
Tell me how much is stored in storage at a certain location.,LOCATION
how much stuff is stored in a particular location.,LOCATION
"I want to know how much of a particular object may be stored in a particular location or space, both maximally and minimally.",QUANTITY
The maximum and minimum quantities of a specific item that can be stored must be disclosed.,QUANTITY
What is the maximum and minimum quantity of a single item that can be kept in a particular location?,QUANTITY
I need to know how much of a particular item can be stored in both the maximum and minimal amounts.,QUANTITY
"For one item or a collection of goods, how many POs were created?",PO
How many POs were issued for a single item or a number of them?,PO
How many POs were created for one item or for several?,PO
When was the last time a single or a group of items became the subject of a purchase order?,PO
How many of a specific product or how many various products did the seller or vendor sell?,QUANTITY
Please let me know how many ITEMS a particular SO contained.,SO
Tell me how many ITEMS were included in a specific PO.,PO
When was the last PO issued for a specific item or group of items?,PO
I require the SO date for a specific PO.,SO
I have to track down the vendor for a specific SO.,SO
How many ITEMS were contained in a specific SO?,SO
I'm interested in finding out how many of a certain ITEM or how many various items the seller sold.,QUANTITY
"Which ITEMS, and how many did a particular SO consist of?",SO
Please let me know how many ITEMS were in a particular PO.,PO
What number and types of ITEMS were in a particular PO?,PO
Please provide more details about a certain ITEM.,INFORMATION
"The more details you can provide me with on these things, the better.",INFORMATION
"Tell me where this thing is, please.",INFORMATION
Can you tell me the location of the ITEM?,LOCATION
"How much of a specific ITEM do we now have on hand, specifically?",INFORMATION
Please elaborate. How many times have we used this item's current quantity?,INFORMATION
Where can I discover information on the quantity of a specific ITEM that was shipped and delivered?,INFORMATION
This item was last used when?,INFORMATION
Do you know when the item was received and how much was received?,INFORMATION
What quantity of this ITEM does the supplier have on hand right now?,QUANTITY
Do you know how many of this product this vendor has on hand?,QUANTITY
I'm particularly interested in Item Sales - How frequently has this item been ordered?,INFORMATION
"When did you get the orders for this item, or these items?",INFORMATION
I want to know when my order's item or items will be delivered.,INFORMATION
How much are the things for long-term storage?,INFORMATION
I want to know how much material is hidden away.,INFORMATION
How much of a given item can I store in a given space—more or less?,QUANTITY
"Yes, tell me, please. For a single item or a group of similar items, how many Purchase Orders were issued?",PO
When was the last time an item (or goods) was the subject of a purchase order (PO)?,PO
I want to know how many of a specific ITEM or group of ITEMS the supplier sold.,SO
Please let me know when this PO's SO date is.,SO
Who is the supplier of this particular SO?,SO
My objective is to determine how many ITEMS altogether made up a specific SO.,SO
How many ITEMS were there in a particular PO?,INFORMATION
These ITEMS call for more information than I currently have.,INFORMATION
Please let me know exactly where the REQUESTED ITEM is located.,INFORMATION
What location can I find the REQUESTED ITEM at?,LOCATION
Where can I find the item I need?,INFORMATION
"I need to get my hands on this item, therefore where is it kept.",INFORMATION
"Tell me where I can find the item that is being stored, please.",LOCATION
Please let me know how many of each item we currently have on hand.,INFORMATION
How many of these items are currently in stock?,INFORMATION
Please let me know how many of this item we currently have on hand.,INFORMATION
I'm curious about how much of a particular thing there is.,INFORMATION
My interest is at its peak. How many of a certain ITEM did we order?,INFORMATION
"Yes, please tell me more. How much of the used quantity—if any—did we actually use?",INFORMATION
How much of a particular ITEM have we actually consumed thus far?,INFORMATION
What exact quantity did a certain product arrive in?,INFORMATION
The total amount of a product that was shipped and received intrigues me.,INFORMATION
Please let me know how many of a particular item I ordered I received.,ORDER
A total of the items received would be greatly appreciated.,INFORMATION
Please let me know when anything was last utilised.,INFORMATION
When was an ITEM last put to use?,INFORMATION
Please let me know when the last received money for a certain item was.,INFORMATION
Please tell me how much this gadget costs.,COST
"I'd want to know exactly how much this costs, if you don't mind.",COST
What is the price of THIS ITEM?,COST
"Please let me know whether you received my order for a single item or several, and when.",ORDER
When I may anticipate receiving a particular item or products would be one of my key concerns if I were to place an order.,INFORMATION
What time period was it if orders for a product or products were received there?,ORDER
When may I anticipate receiving a single item or a collection of items from my order?,INFORMATION
When were the orders for this or those items placed?,INFORMATION
When can I anticipate receiving every part of my order?,INFORMATION
How many of these products does the supplier have on hand right now?,QUANTITY
Please let me know if the seller still has any of this available.,QUANTITY
Tell me what the seller's quantity options are for this product.,QUANTITY
The supplier has a certain quantity of this item for sale.,QUANTITY
the amount of this ITEM that the supplier has on hand right now.,QUANTITY
The amount of this ITEM that is currently available for purchase at the specified retailer is (how many).,QUANTITY
How much of this product is in stock with this vendor?,QUANTITY
How many of this item does this merchant have in stock?,QUANTITY
I'm curious in the price of longer-held items.,COST
"For each ORDER, how many ARTIFACTS are sold?",ORDER
"Tell me, please. For each type of good, how many orders have been made?",ORDER
Learn how many orders there were for a specific item.,INFORMATION
The cost of items that have been lying around for a while is something I'm curious about.,COST
Please let me know how much the goods that have been delayed cost.,COST
"How much material is kept where, wonder inquiring minds?",INFORMATION
There must be a means to determine how many items are kept in a specific location.,LOCATION
It would be fantastic if you could let me know how much is kept in a specific facility.,INFORMATION
the total amount of items hidden away in a location.,QUANTITY
how many units can be kept in a specific area.,INFORMATION
I'm interested in learning the highest and lowest quantities of a particular item that can be stored in a specific area.,QUANTITY
Please let me know how much and how little of a particular item can be stored.,QUANTITY
What are the highest and lowest quantities that can be kept there for a single item?,INFORMATION
What is the maximum and minimum permitted amount of a particular item?,INFORMATION
Purchase orders were issued for how many units of a certain commodity or service?,PO
Can you tell me the total number of purchase orders placed for a specific item or a group of connected items?,PO
"How many orders, if any, were there for each product?",ORDER
When was the last time an item or group of items was the subject of a purchase order?,PO
"How many of each product did the vendor or merchant sell, on average?",QUANTITY
I'm curious to know who the seller of the SO in question is.,QUANTITY
How many ITEMS were mentioned in relation to a particular SO?,SO
It would be great if you could let me know how many ITEMS in total made up a particular PO.,PO
I require the most recent date on which a purchase order was placed for a specific item or group of related items.,ORDER
I'm interested in knowing how many units of a SINGLE ITEM or a collection of items the vendor moved in total.,SO
Find the SO date for this purchase order for me please.,SO
I have to find a provider for a specific SO.,SO
I'm interested in knowing how many total ITEMS a specific SO includes.,SO
I need to know how many items there are in total in a specific PO.,PO
When was the last time you placed a purchase order for a particular good or group of goods?,PO
I want to know how many of a particular ITEM the vendor moved.,SO
Please let me know when the SO for this specific PO is.,SO
Who is the provider for the given SO?,SO
How many different ITEMS were there in a specific SO?,SO
Can you tell me how many ITEMS are in a particular PO?,PO
Which ITEMS—and how many—made up a specific PO?,PO
I want more details about a certain ITEM.,INFORMATION
I would like more information about these ITEMS.,INFORMATION
Where the ITEM is stored for storage is something that interests me.,LOCATION
I want to know how much of a specific item we have on hand right now.,INFORMATION
I'm interested in it. What portion of a certain amount have we previously used for an ITEM?,PO
I'd like to know when and how much a particular item cost.,COST
I would like to find out how much an item costs.,COST
I'm curious to know how many of this item are currently on hand from the merchant in total.,QUANTITY
The total number that can be acquired from this specific merchant for this ITEM is something that interests me.,QUANTITY
"I'm interested in it. For one ITEM, how many separate Orders have been made?",ORDER
I need to know when orders for a single item or for several items were received.,ORDER
I'd like to know when the ordered item or items should be expected to arrive.,INFORMATION
I'm curious about the cost of the items that have been kept in storage for a long time.,COST
I'm curious to know how much is kept overall at a particular location.,LOCATION
The maximum and lowest storage amounts of a specific item at a particular location are what I'm interested in learning.,QUANTITY
I'm interested in it. How many purchase orders for a single item or a variety of items were created?,PO
"I need to know whether the most recent purchase order (PO) was for a single item or a collection of goods, and when it was made.",PO
Both the total quantity of a SINGLE ITEM and the overall number of items sold by the vendor are things I'm curious to know.,SO
"What is the SO date for a particular PO, please?",SO
I need to know which business supplies a particular SO.,SO
I'm curious to learn how many ITEMS a particular SO included.,SO
I want to know how many ITEMS were included in a particular PO.,PO
"Regarding a certain ITEM, I need more details.",INFORMATION
Please point me in the direction of the item's location.,LOCATION
Where exactly am I supposed to find the ITEM?,INFORMATION
Where exactly am I supposed to find this thing?,INFORMATION
I need to know where the item is located in the storage facility.,INFORMATION
"If you could let me know where the ITEM is kept, it would be greatly appreciated.",INFORMATION
Could you please tell me where the item is being stored?,LOCATION
I'd like to know how many of each item we have in stock right now.,INFORMATION
How many of a specific item are we now offering for purchase?,INFORMATION
Please let me know how many of a particular item we currently have in stock.,INFORMATION
How many of each ITEM do you currently have in stock? I'm curious.,INFORMATION
"I'm interested in this. How much of an ITEM did we use, exactly?",INFORMATION
I'm interested in this. How much of a particular quantity of a certain substance did we use?,INFORMATION
What portion of a certain ITEM have we previously consumed?,PO
Please let me know how many of a particular item we received overall.,INFORMATION
I want to know how many of a specific item were shipped out in total.,INFORMATION
Please let me know how many of a specific item we received.,INFORMATION
Finding out how many of a specific item were purchased is something I'm curious about.,PO
How can I tell the most recent time an ITEM was used?,INFORMATION
The most recent use of the item's date would be helpful to me.,INFORMATION
When was the quantity of an item received? I need to know.,INFORMATION
Please let me know the price of this item.,COST
What does a THING's price look like?,COST
Please let me know the day that the order for one item or a number of items was received.,ORDER
One of the first questions I would have if I were to place an order is when my item or items will be delivered.,INFORMATION
When did orders begin to arrive for a specific product or a certain number of products?,INFORMATION
When will delivery of one or more of the ordered items in the order occur?,ORDER
"What is the most recent date that orders were accepted, whether it be for one item or several?",ORDER
"When will the full order, including everything that was bought, be delivered?",INFORMATION
How many of this item does the retailer currently have on hand for purchase?,QUANTITY
"If you could let me know if the vendor currently has this item in stock, that would be helpful.",SO
Please let me know how many units of this product the seller or retailer currently has in stock.,QUANTITY
What is the total amount of this ITEM that the vendor has in stock?,QUANTITY
How many unique examples of this ITEM does the vendor have on hand?,QUANTITY
How many separate units of this ITEM are currently on hand with the specific seller or retailer?,QUANTITY
Please let me know how many of these products the specific vendor has available for purchase.,QUANTITY
"If you could let me know how many of this item the specific dealer has on hand for purchase, that would be helpful.",QUANTITY
My interest is piqued by the costs of the items that have been held for a while.,COST
"For each ORDER, how many INDIVIDUAL ITEMS are sold?",ORDER
I'm interested in this. How many ORDERS are being placed for each SOLD ITEM?,ORDER
"For a SINGLE ITEM, how many separate orders are there?",ORDER
The prices of the products that have been held for a long time are something I'm curious about.,COST
I want to know how much the things that have been temporarily delayed will cost.,COST
Please let me know how many items are kept in storage at a particular place.,INFORMATION
I need to know how many different items are kept in a specific location.,LOCATION
Please let me know how much of a particular quantity is kept in storage at a particular place.,INFORMATION
how much of a quantity is likely to be present in a specific place.,INFORMATION
how much of a quantity is present in a specific place.,INFORMATION
"If you could let me know the highest and lowest quantities of a particular item that can be kept in a specific location, that would be helpful.",QUANTITY
I need to know the maximum and minimum storage quantities that can be accommodated for a specific item.,INFORMATION
Where can I find the highest and lowest quantities of a specific item that can be stored at a specific place?,QUANTITY
Knowing the highest and lowest storage quantities that can be used for a specific item would be useful to me.,INFORMATION
How many purchase orders (POs) were issued for a specific product or a large number of products?,PO
How many purchase orders were issued for one item versus several items?,PO
How many purchase orders were issued for just one item versus several items?,PO
Please let me know when the most recent purchase order for a certain item or group of items was issued.,PO
How many unique units of a certain product or how many different categories of goods did the seller or merchant move?,QUANTITY
I'm curious to know when the SO date for a specific PO will be.,SO
I'm curious to find out who the vendor is for a specific SO.,SO
Please let me know how many ITEMS were included in a specific PO.,PO
When was the most recent purchase order (PO) created for a particular item or a group of items? Please inform me.,PO
I'm curious to know how many units of a SINGLE ITEM or a variety of different items the vendor sold.,SO
I'm trying to find the vendor connected to a specific SO.,SO
The overall number of ITEMS that were included in a specific SO is something I'm like to know.,SO
Please let me know when the most recent purchase order for a single thing or a group of things was placed.,PO
I want to know how many individual items or how many various kinds of goods the merchant sold.,QUANTITY
When did the SO for that specific purchase order occur?,SO
"Regarding the aforementioned SO, who is the exact vendor?",SO
"What ITEMS, and how many of each, were contained in a specific SO?",SO
Please inform me of the number of ITEMS that were included in a specific PO.,PO
"How many of each ITEMS were there in a specific PO, and which ITEMS were included in it?",INFORMATION
I require item information.,INFORMATION
"On these ITEMS, I require information.",INFORMATION
How is the ITEM kept?,INFORMATION
How many things are here?,INFORMATION
Why? What is the quantity of the item?,INFORMATION
I require an item's quantity.,INFORMATION
A last-used date is what I require.,INFORMATION
The item's quantity received date is what I need.,INFORMATION
I require a product's cost.,COST
How much does the dealer have of this item?,QUANTITY
Why? The quantity of Items sold,SO
I need to know when a product or a number of products were ordered.,INFORMATION
I need the delivery date for one or more items.,ORDER
What are the long-held items' prices?,COST
How much is kept at a place?,INFORMATION
The maximum and minimum stored quantities of an item are what I'm looking for.,INFORMATION
"Why? For one or more goods, how many POs are needed?",PO
When was the last PO for a single or multiple items created?,PO
I'm curious how many items the merchant sold.,ORDER
A PO's SO date is required.,SO
I need a vendor for SOs.,SO
What number of ITEMS was in a SO?,SO
I need the item count for a PO.,PO
These ITEMS call for more information.,INFORMATION
Where is the item kept?,INFORMATION
The ITEM is where?,INFORMATION
"Concerning item quantities, I'm curious.",INFORMATION
What is available?,QUANTITY
I'm curious how many things we have.,INFORMATION
Why? What is the amount of an item?,INFORMATION
Why? What was the quantity of the item?,INFORMATION
What portion has been used?,INFORMATION
What number of products were delivered?,INFORMATION
How many of a particular item were given?,INFORMATION
A recent use date is required.,INFORMATION
When was a product's amount received?,INFORMATION
"Cost, please.",COST
What is the cost?,COST
What does an item cost?,COST
I need to know when an order for one or more commodities was received.,ORDER
When did you receive the orders for the items or the item?,INFORMATION
When can I expect my order to arrive?,INFORMATION
When were orders for one or more items received?,ORDER
When will a variety of items arrive?,INFORMATION
What is the current stock of the vendor?,QUANTITY
I'm interested in the vendor's supply situation.,QUANTITY
What number of units is the seller offering?,QUANTITY
How many units of this ITEM are there?,INFORMATION
What number of units does the vendor own?,QUANTITY
How many of this MERCHANDISE is being sold by the vendor/merchant?,QUANTITY
Please let me know how many units of this product the designated vendor offers.,QUANTITY
"The vendor sells how many of this item, exactly?",QUANTITY
How many ITEMS are in each order?,ORDER
Why? How many Orders are sold for each ITEM?,ORDER
What I'm interested in learning is the cost of the items that have been on hold for a while.,COST
The cost of the items that have been put on hold for some time has me curious.,COST
I'm interested in learning how many items are kept in a specific location.,LOCATION
Please let me know how much is kept in storage at a particular location.,LOCATION
What is the utmost and smallest quantity that can be stored of a single item in a certain place?,INFORMATION
Finding the maximum and lowest storage amounts for a particular item is something I'm curious about.,SO
How many POs were made for a certain item or a large number of items?,PO
"For a single item or a large number of goods, how many POs were generated?",PO
How many distinct items—or how many units of a specific item—did the vendor or seller sell?,QUANTITY
When was the last PO for a specific item or group of related items created?,INFORMATION
How many units of a certain ITEM or units of a number of items did the vendor sell?,QUANTITY
The SO date for a particular PO is what I'm looking for.,SO
I want to know how many ITEMS a specific SO included.,SO
I want to know how many ITEMS a specific PO included.,PO
Please let me know when the most recent PO was issued for a specific good or group of goods.,PO
I'm interested in finding out how many units of a specific ITEM or how many items the vendor sold.,SO
What is the SO date for this PO?,SO
"Which ITEMS, and how many of them, made up a particular SO?",SO
Please tell me how many ITEMS are in a given PO.,PO
how many units can be stored in a given area,INFORMATION
I'm curious about the maximum and minimum numbers of a specific item that can be stored in a specific location.,INFORMATION
Please tell me how much and how little of a specific item can be stored.,INFORMATION
What are the maximum and minimum amounts that can be retained for a single item?,INFORMATION
What is the maximum and least amount of a given item permitted?,INFORMATION
How many units of a particular commodity or service were purchased?,PO
Can you tell me how many purchase orders were placed for a certain item or a group of related items?,PO
"How many orders were there for each product, if any?",INFORMATION
When was the last time you received a purchase order for an item or group of items?,ORDER
"On average, how many of each product did the vendor or merchant sell?",QUANTITY
I was curious when the SO for a given PO was reached.,SO
I'm curious who the vendor of the aforementioned SO is.,SO
How many ITEMS were referenced in connection with a specific SO?,SO
It would be nice if you could tell me how many ITEMS make up a specific PO.,PO
I need the most current date on which a purchase order for a certain item or group of related items was made.,ORDER
I'm curious how many units of a SINGLE ITEM or a group of goods the vendor moved in total.,SO
Please find the SO date for this purchase order for me.,SO
I need to locate a provider for a specific SO.,SO
I'd like to know how many total ITEMS a specific SO contains.,SO
I need to know how many total items are in a given PO.,PO
When was the last time you made a purchase order for a specific item or set of items?,PO
I'd like to know how many of a specific ITEM the merchant moved.,ORDER
Please notify me when the SO for this specific PO will be available.,SO
Who is the provider of the specified SO?,SO
How many different ITEMS were in a particular SO?,SO
Could you tell me how many ITEMS are in a specific PO?,PO
"Which ITEMS, and how many, comprised a given PO?",PO
I'd want to learn more about a certain ITEM.,INFORMATION
I'd want to learn more about these ITEMS.,INFORMATION
I'm curious about where the ITEM is saved for storage.,INFORMATION
I'd like to know how much of a particular item we currently have on hand.,INFORMATION
It piques my interest. What percentage of a given sum have we previously used for an ITEM?,INFORMATION
I'm interested in learning how many of a particular item were received.,INFORMATION
I'd like to know when and how much a specific item was purchased for.,PO
I'd like to know how much something costs.,COST
I'd like to know how many of this item the merchant currently has on hand.,QUANTITY
The overall quantity of units available from this specific merchant for this ITEM piques my attention.,QUANTITY
It piques my interest. How many different Orders have been placed for one ITEM?,INFORMATION
I need to know whether orders for a single item or many products have been received.,ORDER
I'd want to know when the ordered item or products will be delivered.,INFORMATION
I'm intrigued how much the goods that have been in storage for a long time cost.,COST
I'm curious how much is maintained in total at a specific place.,INFORMATION
I'm curious about the maximum and minimum storage volumes of a specific item at a specific place.,INFORMATION
It piques my interest. How many purchase orders were created for a single item or a group of items?,PO
"I need to know whether the most recent purchase order (PO) was for a single item or a group of items, as well as when it was issued.",PO
I'm interested in both the total quantity of a SINGLE ITEM and the total number of products sold by the vendor.,SO
Please provide the SO date for a certain PO.,SO
I need to know which company provides a specific SO.,SO
I require more information about a certain ITEM.,INFORMATION
Where am I expected to look for the ITEM?,INFORMATION
What precisely am I supposed to look for?,ORDER
I'd like to know where the item is in the storage facility.,INFORMATION
It would be extremely grateful if you could tell me where the ITEM is kept.,INFORMATION
Could you please tell me where I can find the item?,INFORMATION
I'd like to know how many of each item we currently have in stock.,INFORMATION
How many of a particular item are we now selling?,ORDER
Please let me know how many of a particular item we have on hand.,INFORMATION
How many of each ITEM do you have in stock right now? I'm intrigued.,INFORMATION
This piques my interest. How much of an ITEM did we actually use?,INFORMATION
This piques my interest. How much of a specific quantity of a specific material did we use?,INFORMATION
What percentage of a specific ITEM have we already consumed?,INFORMATION
Please let me know how many of each item we received in total.,INFORMATION
I'd like to know how many of a particular item were shipped out in total.,INFORMATION
Please tell me how many of a particular item we received.,INFORMATION
I'm interested in learning how many of a particular item were purchased.,PO
How can I determine the most recent use of an ITEM?,INFORMATION
I'd like to know the most recent use of the item's date.,INFORMATION
When was an item's amount received? I require clarification.,INFORMATION
What does the price of a THING look like?,COST
Please notify me of the day the order for one or more products was received.,ORDER
When my item or things will be delivered is one of the first queries I would have if I were to place a purchase.,INFORMATION
When did orders for a given product or amount of units start to arrive?,INFORMATION
When will one or more of the ordered goods in the order be delivered?,INFORMATION
"What is the most recent date that orders were accepted, whether for one or more items?",ORDER
"When will the entire order, including everything purchased, be delivered?",ORDER
How many of this item does the shop have available for purchase right now?,QUANTITY
It would be useful if you could tell me if the dealer currently has this item in stock.,QUANTITY
Please let me know how many units of this product are currently in stock with the vendor or merchant.,QUANTITY
What is the total quantity of this ITEM in stock at the vendor?,QUANTITY
How many different examples of this ITEM does the merchant have?,QUANTITY
How many individual units of this ITEM are now available from the relevant seller or retailer?,QUANTITY
Please let me know how many of these products are available for purchase from the specified vendor.,QUANTITY
It would be useful if you could tell me how many of this item the individual merchant has available for purchase.,QUANTITY
The prices of the products that have been held for a while have sparked my attention.,COST
How many INDIVIDUAL ITEMS are sold for each ORDER?,ORDER
This piques my interest. How many ORDERS are there for each SOLD ITEM?,ORDER
How many distinct orders are there for a SINGLE ITEM?,INFORMATION
I'm curious about the costs of things that have been held for a long time.,COST
I'd like to know how much the things that have been postponed will cost.,COST
I need to know how many different products are stored in one location.,LOCATION
Please let me know how much of a specific quantity is stored in storage at a specific location.,LOCATION
how much of a quantity is likely to be present in a given location,LOCATION
how much of a quantity is existing in a certain location,LOCATION
It would be useful if you could tell me the maximum and minimum amounts of a given item that can be kept in a specific area.,INFORMATION
I need to know the maximum and minimum storage amounts that a given item can accommodate.,INFORMATION
Where can I determine the maximum and minimum amounts of a given item that can be stored in a specific location?,INFORMATION
Knowing the maximum and minimum storage numbers for a given item would be valuable to me.,INFORMATION
How many purchase orders (POs) for a specific product or a big number of products were issued?,PO
How many purchase orders were submitted for a single item as opposed to numerous items?,ORDER
Please notify me of the most recent purchase order for a certain item or group of items.,PO
How many distinct units of a certain product or multiple categories of commodities did the seller or merchant move?,QUANTITY
I'd like to know who the vendor is for a specific SO.,SO
Please tell me how many ITEMS were included in a particular PO.,PO
When was the most recent purchase order (PO) for a specific item or set of products created? Please notify me.,PO
I'm curious how many units the vendor sold of a SINGLE ITEM or a selection of other products.,SO
I'm looking for a vendor who is associated with a specific SO.,SO
I'd like to know the total number of ITEMS that were included in a given SO.,SO
I'm curious about the overall number of ITEMS that were included in a given PO.,PO
Please notify me of the most recent purchase order for a single item or a group of items.,PO
I'd like to know how many particular items or different types of commodities the vendor sold.,SO
When did the SO for that particular purchase order take place?,SO
Who is the specific vendor of the aforementioned SO?,SO
"What ITEMS were contained in a certain SO, and how many of each?",SO
Please let me know how many ITEMS were included in a given PO.,PO
"How many of each ITEMS were in a particular PO, and which ITEMS were included?",PO
I need item information.,INFORMATION
I need information on these ITEMS.,INFORMATION
How is the ITEM stored?,INFORMATION
How many items are there?,INFORMATION
Why? What is the item's quantity?,INFORMATION
I need the quantity of an item.,INFORMATION
I need the most recently utilised date.,INFORMATION
I require the quantity received date of the item.,INFORMATION
I need to know how much a thing costs.,COST
What is the dealer's stock of this item?,QUANTITY
Why? The number of items sold,SO
I'd want to know when a product or a set of products was ordered.,INFORMATION
I need to know when one or more goods will be delivered.,INFORMATION
What are the pricing of long-held items?,COST
How much is retained at a location?,LOCATION
I'm seeking for the maximum and lowest stored amounts of an item.,INFORMATION
Why? How many POs are required for one or more goods?,PO
When was the last time a PO for a single or several products was issued?,INFORMATION
I'd like to know how many products the vendor sold.,SO
The SO date of a PO is essential.,SO
I'm looking for a vendor for SOs.,SO
I need the item count on a purchase order.,PO
These ITEMS demand additional information.,INFORMATION
Where is the thing stored?,INFORMATION
Where is the ITEM?,INFORMATION
I'm wondering about the item quantities.,INFORMATION
What options are there?,INFORMATION
I'm wondering about how many items we have.,INFORMATION
Why? What is the cost of a product?,COST
How many goods were delivered?,INFORMATION
How many of each item were given?,INFORMATION
When was the last time anything was used?,INFORMATION
A recent date of use is required.,INFORMATION
When was the amount of a product received?,INFORMATION
Please provide a price.,COST
What is the price?,COST
"When an order for one or more commodities was received, I need to know.",ORDER
When did you get your orders for the items or the item?,INFORMATION
